Player,Mat,Inns,Runs,HS,NO,Ave,BF,SR,Centuries,Fifties,Ducks,Fours,Sixes
Ravi Bishnoi (LSG),15,7,20,5,0,6.66,27,74.07,0,0,0,1,0
A Mishra (LSG),7,1,19,19,0,19,30,63.33,0,0,0,2,0
Umran Malik (SRH),8,2,19,19,1,19,8,237.5,0,0,1,1,2
UT Yadav (KKR),8,5,19,6,1,9.5,18,105.55,0,0,0,1,0
Arshad Khan (MI),6,3,18,15,1,9,15,120,0,0,0,0,1
Akash Deep (RCB),2,1,17,17,0,17,8,212.5,0,0,0,2,1
AJ Hosein (SRH),1,1,16,16,1,0,10,160,0,0,0,1,1
P Dubey (DC),1,1,16,16,0,16,20,80,0,0,0,2,0
Naveen0ul0Haq (LSG),8,3,16,13,0,16,21,76.19,0,0,0,2,0
YV Dhull (DC),4,3,16,13,0,5.33,23,69.56,0,0,0,1,0
TA Boult (RR),10,4,16,15,0,16,14,114.28,0,0,0,1,1
BA Stokes (CSK),2,2,15,8,0,7.5,14,107.14,0,0,0,2,0
Mandeep Singh (KKR),3,3,14,12,0,4.66,16,87.5,0,0,1,0,1
AS Tendulkar (MI),4,1,13,13,0,13,9,144.44,0,0,0,0,1
V Vyshak (RCB),7,2,13,13,1,13,9,144.44,0,0,1,0,1
KM Jadhav (RCB),2,1,12,12,1,0,10,120,0,0,0,1,0
KS Sharma (LSG),2,2,12,9,0,6,21,57.14,0,0,0,0,0
JO Holder (RR),8,3,12,11,0,6,11,109.09,0,0,1,0,1
MA Wood (LSG),4,2,11,10,0,11,5,220,0,0,0,1,1
Sanvir Singh (SRH),2,2,11,7,0,11,9,122.22,0,0,0,1,1
JE Root (RR),3,1,10,10,0,10,15,66.66,0,0,0,1,0
M Vohra (LSG),1,1,10,10,0,10,11,90.9,0,0,0,1,0
A Zampa (RR),6,3,10,7,1,3.33,16,62.5,0,0,0,0,0
JD Unadkat (LSG),3,1,9,9,1,9,7,128.57,0,0,0,1,0
Noor Ahmad (GT),13,3,8,7,0,4,9,88.88,0,0,1,1,0
AS Joseph (GT),7,2,7,7,1,0,12,58.33,0,0,0,1,0
R Powell (DC),3,3,7,4,0,2.33,9,77.77,0,0,0,1,0
Mukesh Kumar (DC),10,3,7,6,0,0,9,77.77,0,0,0,0,0
K Kartikeya (MI),8,1,6,6,1,6,7,85.71,0,0,0,1,0
JP Behrendorff (MI),12,2,6,3,1,0,9,66.66,0,0,0,0,0
CJ Jordan (MI),6,2,6,4,0,3,12,50,0,0,0,0,0
HV Patel (RCB),14,2,6,6,0,3,6,100,0,0,1,0,1
Mohammed Shami (GT),17,2,5,5,0,2.5,6,83.33,0,0,1,1,0
Litton Das (KKR),1,1,4,4,0,4,4,100,0,0,0,1,0
JC Archer (MI),5,2,4,3,1,0,4,100,0,0,0,0,0
C Sakariya (DC),2,2,4,4,0,4,6,66.66,0,0,0,1,0
KV Sharma (RCB),7,2,3,2,1,1.5,5,60,0,0,0,0,0
VG Arora (KKR),5,2,3,2,0,0,2,150,0,0,0,0,0
